GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
item-detail-api,com.ecommerce.catalog.application.exception,DuplicatedProductExceptionMapper,0,40,0,0,0,18,0,2,0,2
item-detail-api,com.ecommerce.catalog.application.exception,ProductNotFoundExceptionMapper,0,40,0,0,0,18,0,2,0,2
item-detail-api,com.ecommerce.catalog.application.exception,InvalidProductDataExceptionMapper,0,40,0,0,0,18,0,2,0,2
item-detail-api,com.ecommerce.catalog.infrastructure.web,ApplicationLivenessCheck,0,16,0,0,0,6,0,2,0,2
item-detail-api,com.ecommerce.catalog.infrastructure.web,ProductController,0,301,0,2,0,61,0,20,0,19
item-detail-api,com.ecommerce.catalog.infrastructure.persistance,JsonProductRepository,52,809,18,62,11,164,20,57,2,35
item-detail-api,com.ecommerce.catalog.application.enums,ProductStatus,0,24,0,0,0,4,0,1,0,1
item-detail-api,com.ecommerce.catalog.application.service,ProductService,50,1001,23,68,8,247,25,64,2,40
item-detail-api,com.ecommerce.catalog.infrastructure.web.dto.request,PagingResponseDto,20,48,4,4,0,10,4,1,0,1
item-detail-api,com.ecommerce.catalog.infrastructure.web.dto.request,ShippingResponseDto,9,0,0,0,4,0,1,0,1,0
item-detail-api,com.ecommerce.catalog.infrastructure.web.dto.request,SortResponseDto,0,13,0,0,0,5,0,1,0,1
item-detail-api,com.ecommerce.catalog.domain.exception,InvalidProductDataException,0,4,0,0,0,2,0,1,0,1
item-detail-api,com.ecommerce.catalog.domain.exception,DuplicateProductException,0,4,0,0,0,2,0,1,0,1
item-detail-api,com.ecommerce.catalog.domain.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
